"Domain,IP,User Name,Email,Start Date,Disk Partition,Quota,Disk Space Used,Package,Theme,Owner,Server,Unix Startdate,Disk Space Used (bytes),Quota (bytes)"
"abcchildrensaidkenya.or.ke,199.188.200.187,abcchildrensaidk,info@abcchildrensaidkenya.or.ke,15 Mar 24 02:26,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1427178389,204,1024000"
"abckenya.or.ke,199.188.200.187,abckenyaor,info@abckenya.or.ke,15 Mar 24 02:24,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1427178246,268,1024000"
"adamsacres.co.ke,199.188.200.187,adamsacr,adams@adamsacres.co.ke,13 Aug 19 08:55,home,5000,794,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1376916914,813469,5120000"
"afapack.co.ke,199.188.204.187,afapackc,info@afapack.co.ke,14 Jan 22 10:44,home,1000,23,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1390405443,24116,1024000"
"afrodentsupplies.org,199.188.200.187,afrodent,info@afrodentsupplies.org,13 May 11 03:40,home,1000,211,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1368258035,216368,1024000"
"aib-africa.co.ke,199.188.204.187,aibafricaco,info@aib-africa.co.ke,15 Mar 02 02:25,home,1000,1,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1425281154,1664,1024000"
"alesta.co.ke,199.188.204.186,alestaco,info@alesta.co.ke,14 Feb 27 04:06,home,1000,201,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1393491970,206336,1024000"
"alliedlogistics.co.ke,199.188.204.188,alliedlo,info@alliedlogistics.co.ke,14 Feb 04 07:18,home,1000,295,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1391516293,302164,1024000"
"alphasafetyservices.org,199.188.204.186,alphasaf,info@alphasafetyservices.org,13 Sep 09 10:42,home,1000,270,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1378737766,276788,1024000"
"alrahman-agencies.com,199.188.200.187,alrahman,info@alrahman-agencies.com,14 Aug 22 07:30,home,1000,560,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1408707042,573824,1024000"
"authenticafricansafarisltd.com,199.188.200.187,authenti,info@authenticafricansafarisltd.com,13 Aug 26 09:16,home,1000,51,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1377523010,52436,1024000"
"authentiquewildsafaris.com,199.188.204.187,authe,info@authentiquewildsafaris.com,13 Nov 01 03:38,home,1000,49,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1383291502,50744,1024000"
"autosalesfunnel.org,199.188.200.187,autosale,info@autosalesfunnel.org,13 May 24 08:37,home,5000,642,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1369399074,657946,5120000"
"blackberrykenya.com,199.188.204.187,blackber,info@blackberrykenya.com,13 May 03 08:09,home,5000,787,bluecosp_Blue Basic_blackber,x3,bluecosp,host14.registrar-servers.com,1367582949,806628,5120000"
"bluecloud.co.ke,199.188.204.187,bluecloudco,info@bluecloud.co.ke,14 Oct 01 02:40,home,80000,2213,undefined,x3,bluecosp,host14.registrar-servers.com,1412145608,2266788,81920000"
"bookmart.co.ke,199.188.204.187,bookma,info@bookmart.co.ke,13 Apr 02 13:30,home,1000,109,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1364923818,112540,1024000"
"calmu.ac.ke,199.188.204.188,calmuac,info@calmu.ac.ke,13 Jan 24 09:26,home,1000,587,bluecosp_Blue Basic_calmuac_calmuac,x3,bluecosp,host14.registrar-servers.com,1359037572,602011,1024000"
"cmuonline.ac.ke,199.188.204.187,cmuonlin,info@cmuonline.ac.ke,13 Oct 03 08:35,home,1000,648,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1380803708,664136,1024000"
"cromptonkenya.co.ke,199.188.200.187,crompton,info@cromptonkenya.co.ke,14 May 13 06:34,home,1000,16,bluecosp_Blue Basic_peeceesc,x3,bluecosp,host14.registrar-servers.com,1399977251,16812,1024000"
"danielsoutlets.com,199.188.200.187,danielsoutlets,info@danielsoutlets.com,14 Dec 21 02:11,home,1000,56,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1419145899,57652,1024000"
"dynamicconsult-ss.com,199.188.200.187,dynamicc,info@dynamicconsult-ss.com,13 Nov 19 07:32,home,2000,1217,bluecosp_Blue Basic_dynamicc,x3,bluecosp,host14.registrar-servers.com,1384864334,1247172,2048000"
"eaa-s.jp,199.188.204.187,eaasjpnew,info@eaa-s.jp,14 Oct 18 02:56,home,5000,947,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1413615371,970600,5120000"
"ecentive.co.ke,199.188.204.186,ecentive,info@ecentive.co.ke,12 Dec 04 09:33,home,1000,1,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1354631589,1152,1024000"
"eco-adventures.co.ke,199.188.200.187,ecoadventuresco,info@eco-adventures.co.ke,15 Mar 24 14:27,home,1000,292,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1427221621,299020,1024000"
"educonnect.co.ke,199.188.204.187,educonne,info@educonnect.co.ke,13 Mar 26 07:32,home,2000,1546,bluecosp_Blue Basic,paper_lantern,bluecosp,host14.registrar-servers.com,1364297569,1583451,2048000"
"edunet.co.ke,199.188.204.188,edunetco,info@edunet.co.ke,14 Feb 13 07:51,home,1000,594,bluecosp_Blue Basic_edunetco,x3,bluecosp,host14.registrar-servers.com,1392295915,608299,1024000"
"elemech.co.ke,199.188.204.186,elemechc,info@elemech.co.ke,14 Apr 10 07:07,home,1000,1,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1397128074,1224,1024000"
"elimusoft.org,199.188.204.187,elimusof,info@elimusoft.org,12 Dec 13 06:16,home,9000,2904,undefined,x3,bluecosp,host14.registrar-servers.com,1355397391,2973863,9216000"
"enaijashop.com,199.188.200.187,enaijash,info@enaijashop.com,13 Dec 17 08:54,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1387288448,264,1024000"
"errandsguru.com,199.188.204.187,errandsg,info@errandsguru.com,13 Feb 11 09:35,home,1000,53,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1360593310,54820,1024000"
"esouthernltd.com,199.188.204.187,esouther,info@esouthernltd.com,13 Mar 08 08:48,home,unlimited,16,default,x3,bluecosp,host14.registrar-servers.com,1362750511,16724,"
"excellarcreative.com,199.188.204.188,excellar,info@excellarcreative.com,13 Oct 07 09:08,home,1000,19,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1381151308,20104,1024000"
"fragrancelounge-ea.com,199.188.200.187,fragranceloungee,info@fragrancelounge-ea.com,14 Nov 28 04:48,home,1000,599,undefined,x3,bluecosp,host14.registrar-servers.com,1417168100,614316,1024000"
"giantquickteam.com,199.188.200.187,giantquickteam,info@giantquickteam.com,14 Dec 15 04:44,home,1000,3,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1418636655,3768,1024000"
"gredasouthsudan.org,199.188.204.186,gredasouthsudan,info@gredasouthsudan.org,14 Nov 05 03:18,home,1000,8,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1415175507,8420,1024000"
"hamoss.org,199.188.200.187,hamoss,info@hamoss.org,14 May 19 03:43,home,1000,51,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1400485399,52955,1024000"
"healthpromotionkenya.org,199.188.200.187,healthpr,info@healthpromotionkenya.org,14 Sep 09 07:17,home,3000,1620,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1410261470,1659588,3072000"
"highestgroup.com,199.188.204.186,highestg,info@highestgroup.com,14 Apr 10 08:30,home,1000,65,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1397133011,67348,1024000"
"hla-ss.com,199.188.200.187,hlass,info@hla-ss.com,13 Dec 13 04:13,home,1000,8,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1386926027,8784,1024000"
"jisambaze.co.ke,199.188.204.188,jisambaz,info@JISAMBAZE.CO.KE,13 Feb 19 02:17,home,1000,305,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1361258265,312916,1024000"
"jyauditorsandconsult.com,199.188.200.187,jyaudito,info@jyauditorsandconsult.com,14 May 08 04:52,home,1000,68,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1399539131,70016,1024000"
"komaproperties.co.ke,199.188.200.187,komapropertiesco,info@komaproperties.co.ke,14 Dec 15 03:06,home,1000,243,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1418630799,249472,1024000"
"kusa.co.ke,199.188.204.188,kusaco,info@kusa.co.ke,13 Jul 04 09:34,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1372944868,408,1024000"
